source,metric,group1,group2,value
NHIS,NHIS_share_fair_poor,Less than HS,Other/Multiracial,0.22857142857142856
NHIS,NHIS_share_fair_poor,Less than HS,Other/Unknown,0.5
NHIS,NHIS_share_fair_poor,Less than HS,Unknown-DK,0.14814814814814814
NHIS,NHIS_share_fair_poor,Less than HS,Unknown-NA,0.26980428704566634
NHIS,NHIS_share_fair_poor,Less than HS,Unknown-Refused,0.25
NHIS,NHIS_share_fair_poor,Less than HS,White,0.33833671399594323
NHIS,NHIS_share_fair_poor,Some college/AA,AIAN,0.21413721413721415
NHIS,NHIS_share_fair_poor,Some college/AA,Asian,0.11159107271418287
NHIS,NHIS_share_fair_poor,Some college/AA,Black,0.20430528375733856
NHIS,NHIS_share_fair_poor,Some college/AA,Other/Multiracial,0.14173228346456693
NHIS,NHIS_share_fair_poor,Some college/AA,Other/Unknown,0.2843691148775895
NHIS,NHIS_share_fair_poor,Some college/AA,Unknown-DK,0.12
NHIS,NHIS_share_fair_poor,Some college/AA,Unknown-NA,0.1363900174114916
NHIS,NHIS_share_fair_poor,Some college/AA,Unknown-Refused,0.2
NHIS,NHIS_share_fair_poor,Some college/AA,White,0.15548808823073826
NHIS,NHIS_share_fair_poor,Unknown,AIAN,0.03140096618357488
NHIS,NHIS_share_fair_poor,Unknown,Asian,0.017961876832844576
NHIS,NHIS_share_fair_poor,Unknown,Black,0.04051121292500603
NHIS,NHIS_share_fair_poor,Unknown,Other/Multiracial,0.018807339449541285
NHIS,NHIS_share_fair_poor,Unknown,Other/Unknown,0.04259259259259259
NHIS,NHIS_share_fair_poor,Unknown,Unknown-DK,0.017543859649122806
NHIS,NHIS_share_fair_poor,Unknown,Unknown-NA,0.043244949494949496
NHIS,NHIS_share_fair_poor,Unknown,Unknown-Refused,0.021739130434782608
NHIS,NHIS_share_fair_poor,Unknown,White,0.02313408981940227
MEPS 2020,mean_totexp,Bachelor+,All,7918.526223520818
MEPS 2020,mean_totexp,High School,All,7132.4394954057
MEPS 2020,mean_totexp,High School Not Completed,All,3882.926501035197
MEPS 2020,mean_totexp,Some College,All,7773.80631276901
MEPS 2020,MEPS_mean_total_spend,Bachelor+,1 WHITE - NO OTHER RACE REPORTED,8193.534767290932
MEPS 2020,MEPS_mean_total_spend,Bachelor+,2 BLACK - NO OTHER RACE REPORTED,9233.75
MEPS 2020,MEPS_mean_total_spend,Bachelor+,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,6089.923076923077
MEPS 2020,MEPS_mean_total_spend,Bachelor+,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,3467.5883211678834
MEPS 2020,MEPS_mean_total_spend,Bachelor+,6 MULTIPLE RACES REPORTED,14036.263157894737
MEPS 2020,MEPS_mean_total_spend,High School,1 WHITE - NO OTHER RACE REPORTED,7314.287172941928
MEPS 2020,MEPS_mean_total_spend,High School,2 BLACK - NO OTHER RACE REPORTED,6943.630381803412
MEPS 2020,MEPS_mean_total_spend,High School,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,4952.266666666666
MEPS 2020,MEPS_mean_total_spend,High School,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,4465.815261044177
MEPS 2020,MEPS_mean_total_spend,High School,6 MULTIPLE RACES REPORTED,8089.983333333334
MEPS 2020,MEPS_mean_total_spend,High School Not Completed,1 WHITE - NO OTHER RACE REPORTED,3890.3255813953488
MEPS 2020,MEPS_mean_total_spend,High School Not Completed,2 BLACK - NO OTHER RACE REPORTED,4160.8041692988
MEPS 2020,MEPS_mean_total_spend,High School Not Completed,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,7509.009615384615
MEPS 2020,MEPS_mean_total_spend,High School Not Completed,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,2879.3630136986303
MEPS 2020,MEPS_mean_total_spend,High School Not Completed,6 MULTIPLE RACES REPORTED,3066.7813688212927
MEPS 2020,MEPS_mean_total_spend,Some College,1 WHITE - NO OTHER RACE REPORTED,7856.1897926634765
MEPS 2020,MEPS_mean_total_spend,Some College,2 BLACK - NO OTHER RACE REPORTED,7517.445868945869
MEPS 2020,MEPS_mean_total_spend,Some College,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,4822.612903225807
MEPS 2020,MEPS_mean_total_spend,Some College,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,3896.186046511628
MEPS 2020,MEPS_mean_total_spend,Some College,6 MULTIPLE RACES REPORTED,12479.21301775148
MEPS 2020,MEPS_uninsured_rate,1 POOR/NEGATIVE,1 WHITE - NO OTHER RACE REPORTED,0.13572132763720013
MEPS 2020,MEPS_uninsured_rate,1 POOR/NEGATIVE,2 BLACK - NO OTHER RACE REPORTED,0.10655737704918032
MEPS 2020,MEPS_uninsured_rate,1 POOR/NEGATIVE,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,0.2826086956521739
MEPS 2020,MEPS_uninsured_rate,1 POOR/NEGATIVE,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,0.1464968152866242
MEPS 2020,MEPS_uninsured_rate,1 POOR/NEGATIVE,6 MULTIPLE RACES REPORTED,0.08755760368663594
MEPS 2020,MEPS_uninsured_rate,2 NEAR POOR,1 WHITE - NO OTHER RACE REPORTED,0.11260330578512397
MEPS 2020,MEPS_uninsured_rate,2 NEAR POOR,2 BLACK - NO OTHER RACE REPORTED,0.09310344827586207
MEPS 2020,MEPS_uninsured_rate,2 NEAR POOR,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,0.25
MEPS 2020,MEPS_uninsured_rate,2 NEAR POOR,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,0.0625
MEPS 2020,MEPS_uninsured_rate,2 NEAR POOR,6 MULTIPLE RACES REPORTED,0.037037037037037035
MEPS 2020,MEPS_uninsured_rate,3 LOW INCOME,1 WHITE - NO OTHER RACE REPORTED,0.12237412470823608
MEPS 2020,MEPS_uninsured_rate,3 LOW INCOME,2 BLACK - NO OTHER RACE REPORTED,0.08665749656121045
MEPS 2020,MEPS_uninsured_rate,3 LOW INCOME,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,0.19148936170212766
MEPS 2020,MEPS_uninsured_rate,3 LOW INCOME,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,0.056818181818181816
MEPS 2020,MEPS_uninsured_rate,3 LOW INCOME,6 MULTIPLE RACES REPORTED,0.06802721088435375
MEPS 2020,MEPS_uninsured_rate,4 MIDDLE INCOME,1 WHITE - NO OTHER RACE REPORTED,0.09131100153035199
MEPS 2020,MEPS_uninsured_rate,4 MIDDLE INCOME,2 BLACK - NO OTHER RACE REPORTED,0.06393129770992366
MEPS 2020,MEPS_uninsured_rate,4 MIDDLE INCOME,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,0.19047619047619047
MEPS 2020,MEPS_uninsured_rate,4 MIDDLE INCOME,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,0.018229166666666668
MEPS 2020,MEPS_uninsured_rate,4 MIDDLE INCOME,6 MULTIPLE RACES REPORTED,0.06224066390041494
MEPS 2020,MEPS_uninsured_rate,5 HIGH INCOME,1 WHITE - NO OTHER RACE REPORTED,0.039503386004514675
MEPS 2020,MEPS_uninsured_rate,5 HIGH INCOME,2 BLACK - NO OTHER RACE REPORTED,0.041716328963051254
MEPS 2020,MEPS_uninsured_rate,5 HIGH INCOME,3 AMER INDIAN/ALASKA NATIVE - NO OTHER RACE,0.07547169811320754
MEPS 2020,MEPS_uninsured_rate,5 HIGH INCOME,4 ASIAN/NATV HAWAIIAN/PACFC ISL-NO OTH,0.014598540145985401
MEPS 2020,MEPS_uninsured_rate,5 HIGH INCOME,6 MULTIPLE RACES REPORTED,0.014326647564469915
